AWS-Datalogger;Date;Time (UTC-0300);T (ºC);RH (%);WS (km/h);WD (º);Hi_WS (km/h);Hi_WD(º);Signal Quality ;Reception
Top-DT2;12/03/2024;8:33:19;0.72;72.70;19.31;268;20.92;266;-65;Ok
Top-DT2;12/03/2024;8:35:43;0.69;73.00;18.83;267;22.53;271;-73;Ok
Top-DT2;12/03/2024;8:37:35;0.70;73.00;26.09;267;27.36;270;-75;Ok
Top-DT2;12/03/2024;8:39:10;0.72;73.20;20.92;274;22.53;274;-76;Ok
Top-DT2;12/03/2024;8:40:53;0.67;72.70;25.35;277;25.75;277;-75;Ok
Top-DT2;12/03/2024;8:43:24;0.69;73.20;18.29;273;19.31;274;-74;Ok
Top-DT2;12/03/2024;8:44:15;0.67;72.80;20.92;267;22.53;279;-75;Ok
Top-DT2;12/03/2024;8:45:58;0.67;72.80;16.50;272;17.70;269;-76;Ok
Top-DT2;12/03/2024;8:47:43;0.67;72.80;21.73;273;22.53;279;-75;Ok
Top-DT2;12/03/2024;8:49:23;0.67;71.60;24.89;271;25.75;278;-76;Ok
Top-DT2;12/03/2024;8:51:59;0.67;72.30;24.94;262;25.75;263;-75;Ok
Top-DT2;12/03/2024;8:53:49;0.72;72.00;21.32;266;22.53;271;-75;Ok
Top-DT2;12/03/2024;8:56:13;0.72;72.00;19.71;266;22.53;274;-75;Ok
Top-DT2;12/03/2024;8:58:05;0.72;73.10;21.82;269;24.14;274;-75;Ok
Top-DT2;12/03/2024;9:00:32;0.72;73.20;15.29;279;16.09;275;-75;Ok
Top-DT2;12/03/2024;9:02:24;0.72;73.50;16.09;278;16.09;281;-74;Ok
Top-DT2;12/03/2024;9:03:54;0.72;73.80;15.45;274;17.70;274;-75;Ok
Top-DT2;12/03/2024;9:06:30;0.72;73.20;18.51;270;19.31;274;-76;Ok
Top-DT2;12/03/2024;9:09:02;0.72;73.10;18.02;277;20.92;279;-75;Ok
Top-DT2;12/03/2024;9:10:47;0.67;73.20;17.70;284;17.70;283;-76;Ok
Top-DT2;12/03/2024;9:13:28;0.72;73.20;17.22;287;19.31;291;-76;Ok
Top-DT2;12/03/2024;9:16:02;0.72;73.30;15.23;284;17.70;285;-75;Ok
Top-DT2;12/03/2024;9:17:34;0.72;73.20;18.02;282;19.31;289;-75;Ok
Top-DT2;12/03/2024;9:19:19;0.72;73.50;12.07;282;12.87;279;-75;Ok
Top-DT2;12/03/2024;9:21:50;0.78;74.10;13.77;289;16.09;291;-76;Ok
Top-DT2;12/03/2024;9:23:33;0.78;74.50;13.68;271;16.09;269;-75;Ok
Top-DT2;12/03/2024;9:26:17;0.78;74.30;16.09;274;16.09;278;-76;Ok
Top-DT2;12/03/2024;9:27:49;0.78;74.20;15.49;277;17.70;282;-76;Ok
Top-DT2;12/03/2024;9:30:23;0.78;74.10;16.24;296;17.70;297;-76;Ok
Top-DT2;12/03/2024;9:32:16;0.78;73.60;16.09;291;16.09;291;-75;Ok
Top-DT2;12/03/2024;9:33:58;0.83;73.60;12.07;290;12.87;301;-75;Ok
Top-DT2;12/03/2024;9:35:30;0.78;73.80;16.09;273;17.70;285;-76;Ok
Top-DT2;12/03/2024;9:38:04;0.83;74.20;13.61;285;16.09;285;-75;Ok
Top-DT2;12/03/2024;9:40:00;0.78;73.80;14.48;293;14.48;296;-75;Ok
Top-DT2;12/03/2024;9:42:20;0.83;73.70;18.24;300;19.31;291;-76;Ok
Top-DT2;12/03/2024;9:44:54;0.83;73.80;16.82;301;17.70;306;-75;Ok
Top-DT2;12/03/2024;9:46:47;0.83;73.70;14.08;302;14.48;302;-75;Ok
Top-DT2;12/03/2024;9:49:11;0.85;73.90;11.37;301;14.48;310;-75;Ok
Top-DT2;12/03/2024;9:50:53;0.86;74.10;11.98;296;14.48;296;-78;Ok
Top-DT2;12/03/2024;9:53:25;0.89;-1.00;14.64;284;17.70;275;-72;Ok
Top-DT2;12/03/2024;9:58:47;0.89;73.50;12.07;282;12.87;289;-73;Ok
Top-DT2;12/03/2024;9:59:28;0.94;73.80;11.67;290;12.87;291;-73;Ok
Top-DT2;12/03/2024;10:01:08;0.94;73.60;14.99;295;17.70;298;-73;Ok
Top-DT2;12/03/2024;10:03:42;0.94;73.40;11.91;283;14.48;293;-74;Ok
Top-DT2;12/03/2024;10:05:24;0.94;72.70;15.83;277;17.70;286;-74;Ok
Top-DT2;12/03/2024;10:07:09;0.94;73.00;20.12;295;20.92;293;-73;Ok
Top-DT2;12/03/2024;10:09:41;0.94;73.50;12.57;293;14.48;290;-74;Ok
Top-DT2;12/03/2024;10:12:14;1.00;73.80;14.22;295;14.48;294;-73;Ok
Top-DT2;12/03/2024;10:13:59;1.00;73.50;16.09;282;16.09;283;-73;Ok
Top-DT2;12/03/2024;10:15:39;0.97;73.50;14.16;300;14.48;297;-74;Ok
Top-DT2;12/03/2024;10:18:13;0.98;73.60;11.51;298;12.87;309;-73;Ok
Top-DT2;12/03/2024;10:19:58;1.00;73.90;16.90;306;17.70;309;-74;Ok
Top-DT2;12/03/2024;10:22:29;1.01;73.30;13.08;300;14.48;322;-74;Ok
Top-DT2;12/03/2024;10:25:03;1.06;72.20;17.08;298;19.31;298;-74;Ok
Top-DT2;12/03/2024;10:26:59;1.06;71.80;13.68;305;14.48;306;-73;Ok
Top-DT2;12/03/2024;10:29:20;1.06;71.40;13.38;296;16.09;287;-74;Ok
Top-DT2;12/03/2024;10:31:53;1.06;71.30;13.20;291;14.48;289;-73;Ok
Top-DT2;12/03/2024;10:33:38;1.11;71.70;16.90;303;17.70;301;-74;Ok
Top-DT2;12/03/2024;10:36:10;1.11;71.00;15.79;300;17.70;302;-73;Ok
Top-DT2;12/03/2024;10:37:52;1.11;71.10;11.96;289;14.48;297;-73;Ok
Top-DT2;12/03/2024;10:38:46;1.11;71.30;11.27;296;11.27;291;-73;Ok
Top-DT2;12/03/2024;10:41:27;1.17;71.30;11.00;298;11.27;308;-73;Ok
Top-DT2;12/03/2024;10:43:00;1.17;71.20;10.84;295;12.87;296;-73;Ok
Top-DT2;12/03/2024;10:45:33;1.17;71.40;12.61;297;12.87;301;-73;Ok
Top-DT2;12/03/2024;10:46:25;1.17;71.20;15.38;298;16.09;298;-74;Ok
Top-DT2;12/03/2024;10:48:10;1.11;71.00;12.07;296;12.87;294;-74;Ok
Top-DT2;12/03/2024;10:50:43;1.17;71.60;12.87;297;12.87;298;-73;Ok
Top-DT2;12/03/2024;10:53:15;1.14;71.60;12.07;288;12.87;290;-74;Ok
Top-DT2;12/03/2024;10:55:48;1.17;71.50;10.73;304;12.87;306;-73;Ok
Top-DT2;12/03/2024;10:57:31;1.17;72.00;12.14;301;12.87;305;-74;Ok
Top-DT2;12/03/2024;11:00:41;1.21;-1.00;10.81;289;12.87;300;-73;Ok
Top-DT2;12/03/2024;11:02:38;1.22;72.10;11.57;300;12.87;298;-74;Ok
Top-DT2;12/03/2024;11:04:21;1.22;72.50;12.29;303;12.87;301;-73;Ok
Top-DT2;12/03/2024;11:06:14;1.22;73.10;11.00;298;12.87;293;-73;Ok
Top-DT2;12/03/2024;11:07:49;1.22;72.80;9.66;293;9.66;294;-73;Ok
Top-DT2;12/03/2024;11:09:41;1.22;72.70;12.87;308;14.48;306;-73;Ok
Top-DT2;12/03/2024;11:12:05;1.22;73.20;11.27;308;11.27;308;-73;Ok
Top-DT2;12/03/2024;11:13:55;1.22;73.30;12.47;308;12.87;309;-74;Ok
Top-DT2;12/03/2024;11:15:27;1.22;73.30;11.09;306;12.87;313;-73;Ok
Top-DT2;12/03/2024;11:17:12;1.17;73.20;11.27;298;12.87;300;-74;Ok
Top-DT2;12/03/2024;11:19:03;1.22;73.60;10.46;289;11.27;285;-73;Ok
Top-DT2;12/03/2024;11:21:29;1.22;73.30;12.87;319;12.87;317;-73;Ok
Top-DT2;12/03/2024;11:24:00;1.28;73.80;13.84;328;14.48;322;-73;Ok
Top-DT2;12/03/2024;11:25:42;1.28;73.80;12.87;327;14.48;332;-73;Ok
Top-DT2;12/03/2024;11:27:35;1.28;73.70;11.67;310;12.87;310;-73;Ok
