fecha;hora;;;;;
01/12/2023;0:34:24;0;0;0;0;E2_P2
01/12/2023;0:36:11;0;0;0;0;E2_P2
01/12/2023;0:37:53;16,94;70;0;9;E2_P2
01/12/2023;0:38:49;17,28;69;0;9;E2_P2
01/12/2023;0:40:30;17,78;67;0;9;E2_P2
01/12/2023;0:41:26;17,92;67;0;9;E2_P2
01/12/2023;0:42:23;18,08;67;0;9;E2_P2
01/12/2023;0:44:29;18,44;66;0;9;E2_P2
01/12/2023;0:46:08;18,58;65;0;9;E2_P2
01/12/2023;0:48:00;18,74;65;0;9;E2_P2
01/12/2023;0:48:59;18,83;64;0;9;E2_P2
01/12/2023;0:49:55;18,89;64;0;9;E2_P2
01/12/2023;0:50:49;18,94;64;0;9;E2_P2
01/12/2023;0:51:45;19;63;0;9;E2_P2
01/12/2023;0:53:41;19,17;63;0;9;E2_P2
01/12/2023;0:54:34;19,22;63;0;9;E2_P2
01/12/2023;0:55:30;19,22;63;0;9;E2_P2
01/12/2023;0:57:23;19,33;63;0;9;E2_P2
01/12/2023;0:59:15;19,36;62;0;9;E2_P2
01/12/2023;1:01:08;19,44;62;0;9;E2_P2
01/12/2023;1:02:07;19,5;62;0;9;E2_P2
01/12/2023;1:03:03;19,5;62;0;9;E2_P2
01/12/2023;1:03:56;19,5;62;0;9;E2_P2
01/12/2023;1:04:53;19,5;62;0;9;E2_P2
01/12/2023;1:05:52;19,56;62;0;9;E2_P2
01/12/2023;1:06:48;19,56;62;0;9;E2_P2
01/12/2023;1:07:42;19,58;62;0;9;E2_P2
01/12/2023;1:08:38;19,61;62;0;9;E2_P2
01/12/2023;1:10:30;19,64;62;0;9;E2_P2
01/12/2023;1:12:23;19,67;62;0;9;E2_P2
01/12/2023;1:14:15;19,69;62;0;9;E2_P2
01/12/2023;1:15:14;19,72;62;0;9;E2_P2
01/12/2023;1:16:11;19,72;62;0;9;E2_P2
01/12/2023;1:17:15;19,72;62;0;9;E2_P2
01/12/2023;1:18:57;19,74;62;0;9;E2_P2
01/12/2023;1:20:49;19,78;62;0;9;E2_P2
01/12/2023;1:21:57;19,78;62;0;9;E2_P2
01/12/2023;1:23:49;19,8;62;0;9;E2_P2
01/12/2023;1:25:30;19,78;62;0;9;E2_P2
01/12/2023;1:27:23;19,83;61;0;9;E2_P2
01/12/2023;1:28:22;19,83;61;0;9;E2_P2
01/12/2023;1:29:29;19,83;61;0;9;E2_P2
01/12/2023;1:31:08;19,83;61;0;9;E2_P2
01/12/2023;1:33:00;19,83;61;0;9;E2_P2
01/12/2023;1:33:57;19,83;61;0;9;E2_P2
01/12/2023;1:34:53;19,83;61;0;9;E2_P2
01/12/2023;1:36:57;19,85;61;0;9;E2_P2
01/12/2023;1:38:38;19,87;61;0;9;E2_P2
01/12/2023;1:40:30;19,89;61;0;9;E2_P2
01/12/2023;1:41:30;19,89;61;0;9;E2_P2
01/12/2023;1:42:34;19,89;61;0;9;E2_P2
01/12/2023;1:43:30;19,89;61;0;9;E2_P2
01/12/2023;1:44:15;19,89;61;0;9;E2_P2
01/12/2023;1:46:08;19,89;61;0;9;E2_P2
01/12/2023;1:47:04;19,89;61;0;9;E2_P2
01/12/2023;1:48:12;19,89;61;0;9;E2_P2
01/12/2023;1:49:53;19,89;61;0;9;E2_P2
01/12/2023;1:51:46;19,89;61;0;9;E2_P2
01/12/2023;1:53:38;19,89;61;0;9;E2_P2
01/12/2023;1:54:37;19,89;61;0;9;E2_P2
01/12/2023;1:55:45;19,89;61;0;9;E2_P2
01/12/2023;1:58:19;19,9;61;0;9;E2_P2
01/12/2023;1:59:16;19,89;61;0;9;E2_P2
01/12/2023;2:00:12;19,91;61;0;9;E2_P2
01/12/2023;2:01:11;19,89;61;0;9;E2_P2
01/12/2023;2:03:12;19,91;61;0;9;E2_P2
01/12/2023;2:04:53;19,92;61;0;9;E2_P2
01/12/2023;2:06:46;19,94;61;0;9;E2_P2
01/12/2023;2:07:45;19,94;61;0;9;E2_P2
01/12/2023;2:09:46;19,93;61;0;9;E2_P2
01/12/2023;2:10:31;19,89;61;0;9;E2_P2
01/12/2023;2:12:23;19,94;61;0;9;E2_P2
01/12/2023;2:13:19;19,89;61;0;9;E2_P2
01/12/2023;2:14:27;19,89;61;0;9;E2_P2
01/12/2023;2:16:19;19,92;61;0;9;E2_P2
01/12/2023;2:18:01;19,89;61;0;9;E2_P2
01/12/2023;2:19:53;19,94;61;0;9;E2_P2
01/12/2023;2:21:46;19,92;61;0;9;E2_P2
01/12/2023;2:23:50;19,94;0;0;9;E2_P2
01/12/2023;2:25:34;19,94;61;0;9;E2_P2
01/12/2023;2:26:27;19,94;61;0;9;E2_P2
01/12/2023;2:27:26;19,94;61;0;9;E2_P2
01/12/2023;2:29:19;19,94;61;0;9;E2_P2
01/12/2023;2:31:08;19,94;61;0;9;E2_P2
01/12/2023;2:33:01;19,94;61;0;9;E2_P2
01/12/2023;2:34:53;19,9;61;0;9;E2_P2
01/12/2023;2:36:54;19,94;0;0;9;E2_P2
01/12/2023;2:37:45;19,94;61;0;9;E2_P2
01/12/2023;2:39:35;19,92;61;0;9;E2_P2
01/12/2023;2:40:31;19,94;61;0;9;E2_P2
01/12/2023;2:42:26;19,94;61;0;9;E2_P2
01/12/2023;2:44:16;19,94;61;0;9;E2_P2
01/12/2023;2:46:08;19,94;61;0;9;E2_P2
01/12/2023;2:47:07;19,94;61;0;9;E2_P2
01/12/2023;2:48:15;19,94;61;0;9;E2_P2
01/12/2023;2:50:05;19,94;0;0;9;E2_P2
01/12/2023;2:52:39;19,93;0;0;9;E2_P2
01/12/2023;2:53:38;19,92;61;0;9;E2_P2
