fecha;hora;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;fecha_hora;diferencia;diferencia_abs;diferencia_segundos;num_punto
2023-12-14;00:32:53;15,06;63.0;0.0;9.0;E2_P1;2023-12-14 00:32:53;;;;0
2023-12-14;00:34:24;0;0.0;0.0;0.0;E2_P2;2023-12-14 00:34:24;0 days 00:01:31;0 days 00:01:31;91.0;0
2023-12-14;00:34:41;15,61;64.0;0.0;9.0;E2_P1;2023-12-14 00:34:41;0 days 00:00:17;0 days 00:00:17;17.0;0
2023-12-14;00:36:11;0;0.0;0.0;0.0;E2_P2;2023-12-14 00:36:11;0 days 00:01:30;0 days 00:01:30;90.0;0
2023-12-14;00:36:34;16,28;71.0;0.0;9.0;E2_P1;2023-12-14 00:36:34;0 days 00:00:23;0 days 00:00:23;23.0;0
2023-12-14;00:37:53;16,94;70.0;0.0;9.0;E2_P2;2023-12-14 00:37:53;0 days 00:01:19;0 days 00:01:19;79.0;0
2023-12-14;00:38:11;16,94;71.0;0.0;9.0;E2_P1;2023-12-14 00:38:11;0 days 00:00:18;0 days 00:00:18;18.0;0
2023-12-14;00:38:49;17,28;69.0;0.0;9.0;E2_P2;2023-12-14 00:38:49;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;00:39:56;17,39;69.0;0.0;9.0;E2_P1;2023-12-14 00:39:56;0 days 00:01:07;0 days 00:01:07;67.0;0
2023-12-14;00:40:30;17,78;67.0;0.0;9.0;E2_P2;2023-12-14 00:40:30;0 days 00:00:34;0 days 00:00:34;34.0;0
2023-12-14;00:40:49;17,67;68.0;0.0;9.0;E2_P1;2023-12-14 00:40:49;0 days 00:00:19;0 days 00:00:19;19.0;0
2023-12-14;00:41:26;17,92;67.0;0.0;9.0;E2_P2;2023-12-14 00:41:26;0 days 00:00:37;0 days 00:00:37;37.0;0
2023-12-14;00:41:41;17,83;68.0;0.0;9.0;E2_P1;2023-12-14 00:41:41;0 days 00:00:15;0 days 00:00:15;15.0;0
2023-12-14;00:42:23;18,08;67.0;0.0;9.0;E2_P2;2023-12-14 00:42:23;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;00:43:23;18,08;67.0;0.0;9.0;E2_P1;2023-12-14 00:43:23;0 days 00:01:00;0 days 00:01:00;60.0;0
2023-12-14;00:44:29;18,44;66.0;0.0;9.0;E2_P2;2023-12-14 00:44:29;0 days 00:01:06;0 days 00:01:06;66.0;0
2023-12-14;00:45:08;18,35;66.0;0.0;9.0;E2_P1;2023-12-14 00:45:08;0 days 00:00:39;0 days 00:00:39;39.0;0
2023-12-14;00:46:08;18,58;65.0;0.0;9.0;E2_P2;2023-12-14 00:46:08;0 days 00:01:00;0 days 00:01:00;60.0;0
2023-12-14;00:46:53;18,58;66.0;0.0;9.0;E2_P1;2023-12-14 00:46:53;0 days 00:00:45;0 days 00:00:45;45.0;0
2023-12-14;00:48:00;18,74;65.0;0.0;9.0;E2_P2;2023-12-14 00:48:00;0 days 00:01:07;0 days 00:01:07;67.0;0
2023-12-14;00:48:38;18,76;65.0;0.0;9.0;E2_P1;2023-12-14 00:48:38;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;00:48:59;18,83;64.0;0.0;9.0;E2_P2;2023-12-14 00:48:59;0 days 00:00:21;0 days 00:00:21;21.0;0
2023-12-14;00:49:31;18,83;65.0;0.0;9.0;E2_P1;2023-12-14 00:49:31;0 days 00:00:32;0 days 00:00:32;32.0;0
2023-12-14;00:49:55;18,89;64.0;0.0;9.0;E2_P2;2023-12-14 00:49:55;0 days 00:00:24;0 days 00:00:24;24.0;0
2023-12-14;00:50:23;18,94;64.0;0.0;9.0;E2_P1;2023-12-14 00:50:23;0 days 00:00:28;0 days 00:00:28;28.0;0
2023-12-14;00:50:49;18,94;64.0;0.0;9.0;E2_P2;2023-12-14 00:50:49;0 days 00:00:26;0 days 00:00:26;26.0;0
2023-12-14;00:51:16;19;64.0;0.0;9.0;E2_P1;2023-12-14 00:51:16;0 days 00:00:27;0 days 00:00:27;27.0;0
2023-12-14;00:51:45;19;63.0;0.0;9.0;E2_P2;2023-12-14 00:51:45;0 days 00:00:29;0 days 00:00:29;29.0;0
2023-12-14;00:53:01;19,11;64.0;0.0;9.0;E2_P1;2023-12-14 00:53:01;0 days 00:01:16;0 days 00:01:16;76.0;0
2023-12-14;00:53:41;19,17;63.0;0.0;9.0;E2_P2;2023-12-14 00:53:41;0 days 00:00:40;0 days 00:00:40;40.0;0
2023-12-14;00:54:04;19,11;64.0;0.0;9.0;E2_P1;2023-12-14 00:54:04;0 days 00:00:23;0 days 00:00:23;23.0;0
2023-12-14;00:54:34;19,22;63.0;0.0;9.0;E2_P2;2023-12-14 00:54:34;0 days 00:00:30;0 days 00:00:30;30.0;0
2023-12-14;00:54:49;19,17;63.0;0.0;9.0;E2_P1;2023-12-14 00:54:49;0 days 00:00:15;0 days 00:00:15;15.0;0
2023-12-14;00:55:30;19,22;63.0;0.0;9.0;E2_P2;2023-12-14 00:55:30;0 days 00:00:41;0 days 00:00:41;41.0;0
2023-12-14;00:56:31;19,25;63.0;0.0;9.0;E2_P1;2023-12-14 00:56:31;0 days 00:01:01;0 days 00:01:01;61.0;0
2023-12-14;00:57:23;19,33;63.0;0.0;9.0;E2_P2;2023-12-14 00:57:23;0 days 00:00:52;0 days 00:00:52;52.0;0
2023-12-14;00:58:16;19,33;63.0;0.0;9.0;E2_P1;2023-12-14 00:58:16;0 days 00:00:53;0 days 00:00:53;53.0;0
2023-12-14;00:59:15;19,36;62.0;0.0;9.0;E2_P2;2023-12-14 00:59:15;0 days 00:00:59;0 days 00:00:59;59.0;0
